NAME,#,MIRIAM,SHORT NAME,COMPARTMENT,ensembl_gene,ensembl_transcript,ensembl_protein,entrez_gene,refseq_gene,uniprot_gene
ENSMUSG00000000399,,,,,ENSMUSG00000000399,ENSMUST00000088194; ENSMUST00000200890; ENSMUST00000205002,ENSMUSP00000085523; ENSMUSP00000144904,66108,NC_000072.7,Q9DC69
ENSMUSG00000000411,,,,,ENSMUSG00000000411,ENSMUST00000000421,ENSMUSP00000000421,58864,NC_000070.7,Q9D2E1
ENSMUSG00000000420,,,,,ENSMUSG00000000420,ENSMUST00000000430; ENSMUST00000164066; ENSMUST00000164998; ENSMUST00000169474; ENSMUST00000170191; ENSMUST00000170243; ENSMUST00000171583; ENSMUST00000178605,ENSMUSP00000000430; ENSMUSP00000130238; ENSMUSP00000131755; ENSMUSP00000132142; ENSMUSP00000132411; ENSMUSP00000137427,14423,NC_000084.7,O08912;Q3UFE4
ENSMUSG00000000439,,,,,ENSMUSG00000000439,ENSMUST00000000449; ENSMUST00000204409; ENSMUST00000205248,ENSMUSP00000000449,67027,NC_000072.7,Q9ERV1
ENSMUSG00000000441,,,,,ENSMUSG00000000441,ENSMUST00000000451; ENSMUST00000112949; ENSMUST00000124553; ENSMUST00000127503; ENSMUST00000130528; ENSMUST00000147979; ENSMUST00000203142; ENSMUST00000203276; ENSMUST00000203759; ENSMUST00000203826; ENSMUST00000204512,ENSMUSP00000000451; ENSMUSP00000108571; ENSMUSP00000115424; ENSMUSP00000144937; ENSMUSP00000145520,110157,NC_000072.7,Q99N57
ENSMUSG00000000530,,,,,ENSMUSG00000000530,ENSMUST00000000542; ENSMUST00000117984; ENSMUST00000119063; ENSMUST00000120028; ENSMUST00000120754; ENSMUST00000121718; ENSMUST00000124151; ENSMUST00000128525; ENSMUST00000128868; ENSMUST00000130432; ENSMUST00000144229,ENSMUSP00000000542; ENSMUSP00000112490; ENSMUSP00000113297; ENSMUSP00000113505; ENSMUSP00000113536; ENSMUSP00000114027; ENSMUSP00000114829; ENSMUSP00000115241; ENSMUSP00000122998,11482,NC_000081.7,Q61288
ENSMUSG00000000532,,,,,ENSMUSG00000000532,ENSMUST00000000544,ENSMUSP00000000544,11479,NC_000081.7,Q61271;Q3TZF1
ENSMUSG00000000563,,,,,ENSMUSG00000000563,ENSMUST00000118209; ENSMUST00000123959; ENSMUST00000133320; ENSMUST00000143022; ENSMUST00000153666; ENSMUST00000199311,ENSMUSP00000113022; ENSMUSP00000115496; ENSMUSP00000143734,11950,NC_000069.7,Q9CQQ7;Q5I0W0
ENSMUSG00000000594,,,,,ENSMUSG00000000594,ENSMUST00000000608,ENSMUSP00000000608,14667,NC_000077.7,Q60648;Q5F1Z8
ENSMUSG00000000628,,,,,ENSMUSG00000000628,ENSMUST00000000642; ENSMUST00000168725; ENSMUST00000169270; ENSMUST00000170833,ENSMUSP00000000642; ENSMUSP00000125986; ENSMUSP00000128572,15277,NC_000072.7,O08528
ENSMUSG00000000673,,,,,ENSMUSG00000000673,ENSMUST00000000687; ENSMUST00000234214; ENSMUST00000234312; ENSMUST00000234750; ENSMUST00000234823; ENSMUST00000234863,ENSMUSP00000000687; ENSMUSP00000157081; ENSMUSP00000157168; ENSMUSP00000157176,107766,NC_000083.7,Q78JT3
ENSMUSG00000000708,,,,,ENSMUSG00000000708,ENSMUST00000000724; ENSMUST00000163648; ENSMUST00000164390; ENSMUST00000166525; ENSMUST00000167092; ENSMUST00000171072; ENSMUST00000172160,ENSMUSP00000000724; ENSMUSP00000126232; ENSMUSP00000127659; ENSMUSP00000127807,18519,NC_000083.7,Q9JHD1;B2RR30
ENSMUSG00000000787,,,,,ENSMUSG00000000787,ENSMUST00000000804; ENSMUST00000123096; ENSMUST00000149639; ENSMUST00000153611; ENSMUST00000153851,ENSMUSP00000000804,13205,NC_000086.8,Q62167;B7ZWF1;Q3TQX5
ENSMUSG00000000792,,,,,ENSMUSG00000000792,ENSMUST00000000809,ENSMUSP00000000809,114479,NC_000074.7,G3X8P5
ENSMUSG00000000804,,,,,ENSMUSG00000000804,ENSMUST00000000821; ENSMUST00000108075; ENSMUST00000172515; ENSMUST00000172595; ENSMUST00000172950; ENSMUST00000173156; ENSMUST00000173271; ENSMUST00000174602; ENSMUST00000174809,ENSMUSP00000000821; ENSMUSP00000103710; ENSMUSP00000133531; ENSMUSP00000133781; ENSMUSP00000134476,237898,NC_000077.7,Q6PD17;F8VPZ3;F6XDW8;G3UXQ4;G3UZF4;G3UX31
ENSMUSG00000000805,,,,,ENSMUSG00000000805,ENSMUST00000103194; ENSMUST00000108076; ENSMUST00000127827; ENSMUST00000138331; ENSMUST00000139416; ENSMUST00000150596,ENSMUSP00000099483; ENSMUSP00000103711; ENSMUSP00000115878; ENSMUSP00000121381,12351,NC_000077.7,Q64444
ENSMUSG00000000811,,,,,ENSMUSG00000000811,ENSMUST00000000828; ENSMUST00000101171,ENSMUSP00000000828; ENSMUSP00000098730,232223,NC_000072.7,Q99MD6;Q3UY43
ENSMUSG00000000889,,,,,ENSMUSG00000000889,ENSMUST00000000910; ENSMUST00000155290,ENSMUSP00000000910,13166,NC_000068.8,Q64237
ENSMUSG00000000916,,,,,ENSMUSG00000000916,ENSMUST00000000940; ENSMUST00000124453; ENSMUST00000126454; ENSMUST00000127746; ENSMUST00000131863; ENSMUST00000141867; ENSMUST00000170342; ENSMUST00000202422; ENSMUST00000202792,ENSMUSP00000000940; ENSMUSP00000128370; ENSMUSP00000143856,100609,NC_000071.7,Q8K4F6
ENSMUSG00000000958,,,,,ENSMUSG00000000958,ENSMUST00000000984; ENSMUST00000195970; ENSMUST00000195999; ENSMUST00000196215; ENSMUST00000196966; ENSMUST00000197440; ENSMUST00000197667; ENSMUST00000200545; ENSMUST00000226753; ENSMUST00000227334; ENSMUST00000227967; ENSMUST00000228488,ENSMUSP00000000984; ENSMUSP00000142587; ENSMUSP00000142710; ENSMUSP00000142826; ENSMUSP00000143091; ENSMUSP00000143743; ENSMUSP00000153917; ENSMUSP00000154208; ENSMUSP00000154352; ENSMUSP00000154533,20540,NC_000080.7,Q9Z1K8
ENSMUSG00000001034,,,,,ENSMUSG00000001034,ENSMUST00000079080; ENSMUST00000101085; ENSMUST00000108714; ENSMUST00000123360; ENSMUST00000125840; ENSMUST00000126495; ENSMUST00000128478; ENSMUST00000129272; ENSMUST00000135521; ENSMUST00000139663; ENSMUST00000139932; ENSMUST00000140779; ENSMUST00000152755; ENSMUST00000153441,ENSMUSP00000078087; ENSMUSP00000098646; ENSMUSP00000104354; ENSMUSP00000116084,23939,NC_000077.7,Q9WVS8;Z4YLV8;Q5NCN8
ENSMUSG00000001095,,,,,ENSMUSG00000001095,ENSMUST00000001122,ENSMUSP00000001122,20500,NC_000077.7,Q9ES88
ENSMUSG00000001127,,,,,ENSMUSG00000001127,ENSMUST00000001155; ENSMUST00000120356; ENSMUST00000122312; ENSMUST00000122850; ENSMUST00000123219; ENSMUST00000128250; ENSMUST00000136451; ENSMUST00000148032; ENSMUST00000150190; ENSMUST00000152955,ENSMUSP00000001155; ENSMUSP00000112513; ENSMUSP00000112521; ENSMUSP00000114846; ENSMUSP00000115793; ENSMUSP00000119544,11836,NC_000086.8,P04627;E9Q0P8;Q8CAD1;B1AUN8;B1AUP0
ENSMUSG00000001155,,,,,ENSMUSG00000001155,ENSMUST00000001183; ENSMUST00000137347; ENSMUST00000146344,ENSMUSP00000001183,14317,NC_000076.7,Q91XD4
ENSMUSG00000001173,,,,,ENSMUSG00000001173,ENSMUST00000001202; ENSMUST00000115013; ENSMUST00000115020; ENSMUST00000142719; ENSMUST00000144664; ENSMUST00000146486; ENSMUST00000154732,ENSMUSP00000001202; ENSMUSP00000110665; ENSMUSP00000110672; ENSMUSP00000122084,320634,NC_000086.8,Q6NVF0
ENSMUSG00000001175,,,,,ENSMUSG00000001175,ENSMUST00000001204; ENSMUST00000110082; ENSMUST00000127300; ENSMUST00000153524,ENSMUSP00000001204; ENSMUSP00000105709,12313,NC_000078.7,P0DP27;P0DP26;P0DP28;Q3UKW2
ENSMUSG00000001211,,,,,ENSMUSG00000001211,ENSMUST00000001240; ENSMUST00000105387; ENSMUST00000105388; ENSMUST00000105389; ENSMUST00000105390; ENSMUST00000138035; ENSMUST00000139282; ENSMUST00000146296; ENSMUST00000146899; ENSMUST00000150828; ENSMUST00000166360; ENSMUST00000219907; ENSMUST00000219932,ENSMUSP00000001240; ENSMUSP00000101026; ENSMUSP00000101027; ENSMUSP00000101028; ENSMUSP00000101029; ENSMUSP00000114657; ENSMUSP00000114885; ENSMUSP00000119713; ENSMUSP00000121052; ENSMUSP00000132954; ENSMUSP00000151528,28169,NC_000076.7,Q9D517
ENSMUSG00000001225,,,,,ENSMUSG00000001225,ENSMUST00000001254; ENSMUST00000109275; ENSMUST00000110854; ENSMUST00000165816; ENSMUST00000167432; ENSMUST00000168209; ENSMUST00000171616,ENSMUSP00000001254; ENSMUSP00000106478; ENSMUSP00000128722; ENSMUSP00000130676,13487,NC_000078.7,Q9WVC8
ENSMUSG00000001228,,,,,ENSMUSG00000001228,ENSMUST00000001258; ENSMUST00000113035; ENSMUST00000113038; ENSMUST00000113039; ENSMUST00000137876; ENSMUST00000139654; ENSMUST00000142387,ENSMUSP00000001258; ENSMUSP00000108658; ENSMUSP00000108661; ENSMUSP00000108662; ENSMUSP00000125830,18140,NC_000083.7,Q8VDF2
ENSMUSG00000001270,,,,,ENSMUSG00000001270,ENSMUST00000001304; ENSMUST00000220888; ENSMUST00000222513; ENSMUST00000222705; ENSMUST00000223099,ENSMUSP00000001304,12709,NC_000078.7,Q04447
ENSMUSG00000001323,,,,,ENSMUSG00000001323,ENSMUST00000065211; ENSMUST00000108447; ENSMUST00000108448; ENSMUST00000121738; ENSMUST00000123855; ENSMUST00000127499; ENSMUST00000128556; ENSMUST00000135587; ENSMUST00000138612; ENSMUST00000147817,ENSMUSP00000067552; ENSMUSP00000104086; ENSMUSP00000104087; ENSMUSP00000113372; ENSMUSP00000118485; ENSMUSP00000119256; ENSMUSP00000120012,27364,NC_000077.7,Q9QZX7
ENSMUSG00000001348,,,,,ENSMUSG00000001348,ENSMUST00000069330; ENSMUST00000115315; ENSMUST00000165735; ENSMUST00000213815; ENSMUST00000216684; ENSMUST00000217643,ENSMUSP00000065425; ENSMUSP00000110970; ENSMUSP00000127128; ENSMUSP00000149597; ENSMUSP00000150903,11433,NC_000075.7,Q05117
ENSMUSG00000001380,,,,,ENSMUSG00000001380,ENSMUST00000001416; ENSMUST00000235494; ENSMUST00000235863; ENSMUST00000236395,ENSMUSP00000001416; ENSMUSP00000157507; ENSMUSP00000158246,15115,NC_000084.7,Q61035
ENSMUSG00000001403,,,,,ENSMUSG00000001403,ENSMUST00000001439; ENSMUST00000088248,ENSMUSP00000001439; ENSMUSP00000085581,68612,NC_000068.8,Q9D1C1;A2A4Z0
ENSMUSG00000001436,,,,,ENSMUSG00000001436,ENSMUST00000105410; ENSMUST00000127249; ENSMUST00000130703; ENSMUST00000131031; ENSMUST00000132984; ENSMUST00000133059; ENSMUST00000136150; ENSMUST00000136925; ENSMUST00000144234,ENSMUSP00000101050; ENSMUSP00000114884; ENSMUSP00000115658; ENSMUSP00000116657; ENSMUSP00000116784; ENSMUSP00000119382; ENSMUSP00000120266; ENSMUSP00000121237,20509,NC_000076.7,P41438;Q542F3
ENSMUSG00000001441,,,,,ENSMUSG00000001441,ENSMUST00000001480; ENSMUST00000107608; ENSMUST00000109294; ENSMUST00000133907; ENSMUST00000146833; ENSMUST00000147287; ENSMUST00000152546; ENSMUST00000152820; ENSMUST00000154372; ENSMUST00000154917; ENSMUST00000163164; ENSMUST00000163950; ENSMUST00000165216; ENSMUST00000165489; ENSMUST00000167806; ENSMUST00000168743; ENSMUST00000170506; ENSMUST00000171320; ENSMUST00000172108,ENSMUSP00000001480; ENSMUSP00000119644; ENSMUSP00000127127; ENSMUSP00000127631; ENSMUSP00000127801; ENSMUSP00000128169; ENSMUSP00000129361; ENSMUSP00000129623; ENSMUSP00000130445,19155,NC_000077.7,Q11011
ENSMUSG00000001467,,,,,ENSMUSG00000001467,ENSMUST00000001507; ENSMUST00000129448; ENSMUST00000151539; ENSMUST00000199909,ENSMUSP00000001507,13121,NC_000071.7,Q8K0C4
ENSMUSG00000001630,,,,,ENSMUSG00000001630,ENSMUST00000001675; ENSMUST00000111644; ENSMUST00000203318,ENSMUSP00000001675; ENSMUSP00000107271; ENSMUSP00000145209,232533,NC_000072.7,Q7TSE6
ENSMUSG00000001632,,,,,ENSMUSG00000001632,ENSMUST00000113117; ENSMUST00000113119; ENSMUST00000113121; ENSMUST00000113122; ENSMUST00000124530; ENSMUST00000131594; ENSMUST00000138737; ENSMUST00000203577; ENSMUST00000204198; ENSMUST00000204626,ENSMUSP00000108742; ENSMUSP00000108744; ENSMUSP00000108746; ENSMUSP00000108747; ENSMUSP00000144804; ENSMUSP00000144820; ENSMUSP00000145093,78783,NC_000072.7,B2RRD7;Q80XK2;Q3U109;Q9CTY1;A0A0N4SUT9;A0A0N4SVG7;A0A0N4SUS4;E9PXP1;Q8C905
ENSMUSG00000001642,,,,,ENSMUSG00000001642,ENSMUST00000102980; ENSMUST00000126991; ENSMUST00000136559; ENSMUST00000142761; ENSMUST00000154655; ENSMUST00000201392,ENSMUSP00000100045; ENSMUSP00000114391,11677,NC_000072.7,P45376;Q3UDY1
ENSMUSG00000001663,,,,,ENSMUSG00000001663,ENSMUST00000001713; ENSMUST00000120177; ENSMUST00000139724,ENSMUSP00000001713; ENSMUSP00000113839; ENSMUSP00000117130,14871,NC_000076.7,Q64471;Q9DCY6
ENSMUSG00000001670,,,,,ENSMUSG00000001670,ENSMUST00000001720; ENSMUST00000143741,ENSMUSP00000001720; ENSMUSP00000119061,234724,NC_000074.7,Q8QZR1
ENSMUSG00000001674,,,,,ENSMUSG00000001674,ENSMUST00000001724; ENSMUST00000131471; ENSMUST00000134417; ENSMUST00000148809,ENSMUSP00000001724; ENSMUSP00000114149,66942,NC_000067.7,Q8K363;B2RUM8
ENSMUSG00000001729,,,,,ENSMUSG00000001729,ENSMUST00000001780; ENSMUST00000123563; ENSMUST00000127588; ENSMUST00000127902; ENSMUST00000128300; ENSMUST00000130342; ENSMUST00000139388; ENSMUST00000144550; ENSMUST00000159815,ENSMUSP00000001780; ENSMUSP00000118190; ENSMUSP00000122222; ENSMUSP00000123689,11651,NC_000078.7,P31750
ENSMUSG00000001750,,,,,ENSMUSG00000001750,ENSMUST00000001801; ENSMUST00000122885; ENSMUST00000125792; ENSMUST00000126070; ENSMUST00000126643; ENSMUST00000127308; ENSMUST00000131327; ENSMUST00000132164; ENSMUST00000134698; ENSMUST00000135070; ENSMUST00000145791; ENSMUST00000159824; ENSMUST00000162688; ENSMUST00000236590,ENSMUSP00000001801; ENSMUSP00000114768; ENSMUSP00000120531; ENSMUSP00000120968; ENSMUSP00000121241; ENSMUSP00000122474; ENSMUSP00000157575,27060,NC_000085.7,F6ZFB8;Q9JHF5;F6XRE6;D6RFN1;A0A494B9E3
ENSMUSG00000001751,,,,,ENSMUSG00000001751,ENSMUST00000001802; ENSMUST00000138409; ENSMUST00000140735,ENSMUSP00000001802,27419,NC_000077.7,O88325
ENSMUSG00000001755,,,,,ENSMUSG00000001755,ENSMUST00000001806; ENSMUST00000107308; ENSMUST00000151056; ENSMUST00000151686,ENSMUSP00000001806; ENSMUSP00000102929,71743,NC_000077.7,Q9DBL7
ENSMUSG00000001773,,,,,ENSMUSG00000001773,ENSMUST00000001824; ENSMUST00000107271; ENSMUST00000209082,ENSMUSP00000001824; ENSMUSP00000102892,53320,NC_000073.7,O35409;Q0VDM6
ENSMUSG00000001827,,,,,ENSMUSG00000001827,ENSMUST00000106981; ENSMUST00000106982; ENSMUST00000106983; ENSMUST00000106985; ENSMUST00000106986; ENSMUST00000123321; ENSMUST00000123630; ENSMUST00000124026; ENSMUST00000125298; ENSMUST00000126204; ENSMUST00000134145; ENSMUST00000140068; ENSMUST00000140584; ENSMUST00000150184; ENSMUST00000151706; ENSMUST00000155311,ENSMUSP00000102594; ENSMUSP00000102595; ENSMUSP00000102596; ENSMUSP00000102598; ENSMUSP00000102599; ENSMUSP00000114167; ENSMUSP00000114633; ENSMUSP00000114919; ENSMUSP00000115077; ENSMUSP00000115360; ENSMUSP00000116068; ENSMUSP00000117175; ENSMUSP00000118547; ENSMUSP00000121374; ENSMUSP00000121947,14275,NC_000073.7,P35846
ENSMUSG00000001844,,,,,ENSMUSG00000001844,ENSMUST00000001900; ENSMUST00000159718; ENSMUST00000159813; ENSMUST00000159941; ENSMUST00000160061; ENSMUST00000161199; ENSMUST00000161333; ENSMUST00000161915; ENSMUST00000162066; ENSMUST00000162284; ENSMUST00000162287; ENSMUST00000162358; ENSMUST00000162941,ENSMUSP00000001900; ENSMUSP00000124026; ENSMUSP00000124416; ENSMUSP00000124813; ENSMUSP00000124997; ENSMUSP00000125130; ENSMUSP00000137935,72881,NC_000071.7,Q9D6H5
ENSMUSG00000001855,,,,,ENSMUSG00000001855,ENSMUST00000065398; ENSMUST00000123062; ENSMUST00000124455; ENSMUST00000126301; ENSMUST00000129496; ENSMUST00000130185; ENSMUST00000130975; ENSMUST00000138012; ENSMUST00000146138; ENSMUST00000152791; ENSMUST00000153096,ENSMUSP00000066492; ENSMUSP00000115665; ENSMUSP00000141436; ENSMUSP00000142255,227720,NC_000068.8,Q80U93
ENSMUSG00000001865,,,,,ENSMUSG00000001865,ENSMUST00000001921; ENSMUST00000191659,ENSMUSP00000001921,12873,NC_000069.7,P15089;Q542E3
ENSMUSG00000001891,,,,,ENSMUSG00000001891,ENSMUST00000060895; ENSMUST00000102875; ENSMUST00000133343; ENSMUST00000143890,ENSMUSP00000056324; ENSMUSP00000099939,216558,NC_000077.7,Q91ZJ5;Q3U548
ENSMUSG00000001909,,,,,ENSMUSG00000001909,ENSMUST00000001974; ENSMUST00000077990; ENSMUST00000109767; ENSMUST00000109768; ENSMUST00000125370; ENSMUST00000127915; ENSMUST00000128022; ENSMUST00000128537; ENSMUST00000131700; ENSMUST00000136423; ENSMUST00000137953; ENSMUST00000138300; ENSMUST00000143427; ENSMUST00000148118; ENSMUST00000150085; ENSMUST00000152301; ENSMUST00000175704; ENSMUST00000175767; ENSMUST00000175784; ENSMUST00000175870; ENSMUST00000175884; ENSMUST00000175980; ENSMUST00000176053; ENSMUST00000176914; ENSMUST00000177084; ENSMUST00000177260; ENSMUST00000177286; ENSMUST00000177364; ENSMUST00000177423; ENSMUST00000177531,ENSMUSP00000001974; ENSMUSP00000105389; ENSMUSP00000105390; ENSMUSP00000116712; ENSMUSP00000117140; ENSMUSP00000122526; ENSMUSP00000134723; ENSMUSP00000135273; ENSMUSP00000135327; ENSMUSP00000135510; ENSMUSP00000135540; ENSMUSP00000135675; ENSMUSP00000135680,212528,NC_000074.7,Q3TX08;E9PWD4;A0A0R4IZW7;D3Z413;H3BL70;D6RG86;H3BK68;H3BL74;H3BKB8;D6RFC0;G3V019;H3BKV3;H3BKS8
ENSMUSG00000001918,,,,,ENSMUSG00000001918,ENSMUST00000108496; ENSMUST00000127401; ENSMUST00000131664; ENSMUST00000134407; ENSMUST00000135817; ENSMUST00000141349; ENSMUST00000147814; ENSMUST00000206444,ENSMUSP00000104136,20514,NC_000073.7,Q3UFR4;Q9ESU7
ENSMUSG00000001924,,,,,ENSMUSG00000001924,ENSMUST00000001989; ENSMUST00000089217; ENSMUST00000130694; ENSMUST00000136915; ENSMUST00000137892; ENSMUST00000152235,ENSMUSP00000001989; ENSMUSP00000086626,22201,NC_000086.8,Q02053;A0A1S6GWH5;B9EHN0
ENSMUSG00000001942,,,,,ENSMUSG00000001942,ENSMUST00000002007; ENSMUST00000213126; ENSMUST00000213964; ENSMUST00000215474; ENSMUST00000215678; ENSMUST00000215829; ENSMUST00000217567,ENSMUSP00000002007; ENSMUSP00000149029; ENSMUSP00000149220; ENSMUSP00000149505; ENSMUSP00000150641,22619,NC_000075.7,P70665
ENSMUSG00000001999,,,,,ENSMUSG00000001999,ENSMUST00000002064; ENSMUST00000110389; ENSMUST00000135529; ENSMUST00000142737; ENSMUST00000142861,ENSMUSP00000002064; ENSMUSP00000106019; ENSMUSP00000116825; ENSMUSP00000118278,109778,NC_000068.8,Q9CY64
ENSMUSG00000002006,,,,,ENSMUSG00000002006,ENSMUST00000002080; ENSMUST00000114438,ENSMUSP00000002080; ENSMUSP00000110081,245469,NC_000086.8,Q9QY39;A2AFG3
ENSMUSG00000002007,,,,,ENSMUSG00000002007,ENSMUST00000002081; ENSMUST00000136664; ENSMUST00000137045; ENSMUST00000139630,ENSMUSP00000002081,56504,NC_000086.8,Q9Z0G2;Q0VAW8
ENSMUSG00000002010,,,,,ENSMUSG00000002010,ENSMUST00000052761; ENSMUST00000129070; ENSMUST00000129367; ENSMUST00000130119; ENSMUST00000140944; ENSMUST00000142707; ENSMUST00000145341; ENSMUST00000148419; ENSMUST00000156299,ENSMUSP00000056502,15929,NC_000086.8,P70404;Q3TGZ3
ENSMUSG00000002012,,,,,ENSMUSG00000002012,ENSMUST00000002087; ENSMUST00000114472; ENSMUST00000114473; ENSMUST00000129106; ENSMUST00000144187,ENSMUSP00000002087; ENSMUSP00000110116; ENSMUSP00000110117; ENSMUSP00000120453,93843,NC_000086.8,Q9QYK9;Q3TYC1;Q3UYI0
ENSMUSG00000002014,,,,,ENSMUSG00000002014,ENSMUST00000002090; ENSMUST00000129239; ENSMUST00000130738; ENSMUST00000136544; ENSMUST00000141721; ENSMUST00000142829; ENSMUST00000155552; ENSMUST00000166518,ENSMUSP00000002090; ENSMUSP00000131386,20832,NC_000086.8,Q62186;Q3TVJ8;Q9D8L3
ENSMUSG00000002015,,,,,ENSMUSG00000002015,ENSMUST00000002091,ENSMUSP00000002091,27061,NC_000086.8,Q61335
ENSMUSG00000002028,,,,,ENSMUSG00000002028,ENSMUST00000002095; ENSMUST00000114689; ENSMUST00000128768; ENSMUST00000138119; ENSMUST00000152241; ENSMUST00000215489,ENSMUSP00000002095; ENSMUSP00000110337; ENSMUSP00000122541; ENSMUSP00000138138; ENSMUSP00000138767; ENSMUSP00000149173,214162,NC_000075.7,
ENSMUSG00000002103,,,,,ENSMUSG00000002103,ENSMUST00000002172; ENSMUST00000124131; ENSMUST00000127643; ENSMUST00000150403; ENSMUST00000155418; ENSMUST00000238832; ENSMUST00000239169,ENSMUSP00000002172; ENSMUSP00000116030; ENSMUSP00000119144; ENSMUSP00000159053; ENSMUSP00000159089,11432,NC_000068.8,P24638;Q3UZN1
ENSMUSG00000002204,,,,,ENSMUSG00000002204,ENSMUST00000002274; ENSMUST00000153124; ENSMUST00000207302; ENSMUST00000207543; ENSMUST00000208514,ENSMUSP00000002274; ENSMUSP00000146791,16541,NC_000073.7,O09043;Q3U7H1
