,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
24,,MMRNR00026,R_HMR_0298,9-eicosenoyl-CoA[c] + H2O[c] => 9-eicosenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
25,,MMRNR00027,R_HMR_0302,"(8Z,11Z)-eicosadienoyl-CoA[c] + H2O[c] => 8,11-eicosadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
26,,MMRNR00028,R_HMR_0306,"(5Z,8Z,11Z)-eicosatrienoyl-CoA[c] + H2O[c] => CoA[c] + mead acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
27,,MMRNR00029,R_HMR_0310,H2O[c] + heneicosanoyl-CoA[c] => CoA[c] + henicosanoic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
28,,MMRNR00030,R_HMR_0314,docosanoyl-CoA[c] + H2O[c] => behenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
29,,MMRNR00031,R_HMR_0320,(13Z)-docosenoyl-CoA[c] + H2O[c] => cis-erucic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
30,,MMRNR00032,R_HMR_0324,(11Z)-docosenoyl-CoA[c] + H2O[c] => cis-cetoleic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
31,,MMRNR00033,R_HMR_0328,H2O[c] + tricosanoyl-CoA[c] => CoA[c] + tricosanoic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
32,,MMRNR00034,R_HMR_0332,H2O[c] + tetracosanoyl-CoA[c] => CoA[c] + Lignocerate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
33,,MMRNR00035,R_HMR_0338,(15Z)-tetracosenoyl-CoA[c] + H2O[c] => CoA[c] + nervonic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
34,,MMRNR00036,R_HMR_0342,H2O[c] + hexacosanoyl-CoA[c] => cerotic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
35,,MMRNR00037,R_HMR_0346,H2O[c] + hexacosenoyl-CoA[c] => CoA[c] + ximenic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
36,,MMRNR00038,R_HMR_0350,H2O[c] + linolenoyl-CoA[c] => CoA[c] + linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
37,,MMRNR00039,R_HMR_0354,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + H2O[c] => CoA[c] + stearidonic acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
38,,MMRNR00040,R_HMR_0358,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + H2O[c] => CoA[c] + omega-3-arachidonic acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
39,,MMRNR00041,R_HMR_0362,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + EPA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
40,,MMRNR00042,R_HMR_0366,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + DPA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
41,,MMRNR00043,R_HMR_0370,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z,21Z)-TPA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
42,,MMRNR00044,R_HMR_0374,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
43,,MMRNR00045,R_HMR_0378,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + H2O[c] => CoA[c] + DHA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
44,,MMRNR00046,R_HMR_0382,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[c] + H2O[c] => (11Z,14Z,17Z)-eicosatrienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
45,,MMRNR00047,R_HMR_0386,"13,16,19-docosatrienoyl-CoA[c] + H2O[c] => 13,16,19-docosatrienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
46,,MMRNR00048,R_HMR_0390,"10,13,16,19-docosatetraenoyl-CoA[c] + H2O[c] => 10,13,16,19-docosatetraenoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
47,,MMRNR00049,R_HMR_0394,"12,15,18,21-tetracosatetraenoyl-CoA[c] + H2O[c] => 12,15,18,21-tetracosatetraenoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
48,,MMRNR00050,R_HMR_0398,H2O[c] + linoleoyl-CoA[c] => CoA[c] + linoleate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
49,,MMRNR00051,R_HMR_0402,gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + gamma-linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
50,,MMRNR00052,R_HMR_0406,dihomo-gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + dihomo-gamma-linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
51,,MMRNR00053,R_HMR_0410,arachidonyl-CoA[c] + H2O[c] => arachidonate[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
52,,MMRNR00054,R_HMR_0414,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + H2O[c] => adrenic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
53,,MMRNR00055,R_HMR_0418,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z)-TTA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
54,,MMRNR00056,R_HMR_0422,"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z)-TPA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
55,,MMRNR00057,R_HMR_0426,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + H2O[c] => (4Z,7Z,10Z,13Z,16Z)-DPA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
56,,MMRNR00058,R_HMR_0430,"(11Z,14Z)-eicosadienoyl-CoA[c] + H2O[c] => (11Z,14Z)-eicosadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
57,,MMRNR00059,R_HMR_0434,"(13Z,16Z)-docosadienoyl-CoA[c] + H2O[c] => (13Z,16Z)-docosadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
58,,MMRNR00060,R_HMR_0438,"10,13,16-docosatrienoyl-CoA[c] + H2O[c] => 10,13,16-docosatriynoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
59,,MMRNR00061,R_HMR_3009,H2O[p] + propanoyl-CoA[p] => CoA[p] + propanoate[p],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
60,,MMRNR00062,R_HMR_3475,acetyl-CoA[p] + H2O[p] => acetate[p] + CoA[p],,ENSMUSG00000017307,,,,,,Acyl-CoA hydrolysis,,,,
61,,MMRNR00064,R_HMR_3477,formyl-CoA[c] + H2O[c] => CoA[c] + formate[c],,,,,,,,Acyl-CoA hydrolysis,,,,
62,,MMRNR10079,,chylomicron[s] => 77243 TAG-chylomicron pool[s],EC:3.1.1.34;EC:3.1.1.23,ENSMUSG00000015568 or ENSMUSG00000020592 or ENSMUSG00000022579 or ENSMUSG00000025277 or ENSMUSG00000028763 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
63,,MMRNR10080,,"H2O[s] + TAG-chylomicron pool[s] => 1,2-diacylglycerol-chylomicron pool[s] + fatty acid-chylomicron pool[s]",EC:3.1.1.34,ENSMUSG00000015568,,,,,,Acylglycerides metabolism,,,,
64,,MMRNR10081,,"1,2-diacylglycerol-chylomicron pool[s] + H2O[s] => 1-acylglycerol-chylomicron pool[s] + fatty acid-chylomicron pool[s]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
65,,MMRNR10082,,1-acylglycerol-chylomicron pool[c] + H2O[c] => fatty acid-LD-TG1 pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
66,,MMRNR10083,,"1,2-diacylglycerol-LD-TAG pool[c] + ATP[c] => ADP[c] + phosphatidate-LD-TAG pool[c]",EC:2.7.1.107,ENSMUSG00000040479 or ENSMUSG00000070738 or ENSMUSG00000004815 or ENSMUSG00000025357,,,,,,Acylglycerides metabolism,,,,
67,,MMRNR10084,,"1,2-diacylglycerol-LD-TAG pool[c] + acyl-CoA-LD-TG3 pool[c] => CoA[c] + TAG-LD pool[c]",EC:2.3.1.20;EC:2.3.1.22,ENSMUSG00000012187 or ENSMUSG00000022555 or ENSMUSG00000030747 or ENSMUSG00000052396,,,,,,Acylglycerides metabolism,,,,
68,,MMRNR10085,,"H2O[c] + TAG-LD pool[c] => 1,2-diacylglycerol-LD-TAG pool[c] + fatty acid-LD-TG3 pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
69,,MMRNR10086,,"1,2-diacylglycerol-LD-TAG pool[c] + H2O[c] => 1-acylglycerol-LD-TG1 pool[c] + fatty acid-LD-TG2 pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
70,,MMRNR10087,,"1,2-diacylglycerol-LD-PI pool[c] + H2O[c] => 1-acylglycerol-LD-PI pool[c] + fatty acid-LD-PI pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
71,,MMRNR10088,,"1,2-diacylglycerol-LD-PC pool[c] + H2O[c] => 1-acylglycerol-LD-PC pool[c] + fatty acid-LD-PC pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
72,,MMRNR10089,,"1,2-diacylglycerol-LD-PE pool[c] + H2O[c] => 1-acylglycerol-LD-PE pool[c] + fatty acid-LD-PE pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
73,,MMRNR10090,,"1,2-diacylglycerol-LD-PS pool[c] + H2O[c] => 1-acylglycerol-LD-PS pool[c] + fatty acid-LD-PS pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
74,,MMRNR10091,,"1,2-diacylglycerol-LD-SM pool[c] + H2O[c] => 1-acylglycerol-LD-SM pool[c] + fatty acid-LD-SM pool[c]",EC:3.1.1.3,ENSMUSG00000003123 or ENSMUSG00000025091 or ENSMUSG00000025509 or ENSMUSG00000026818 or ENSMUSG00000027761 or ENSMUSG00000032207 or ENSMUSG00000039206 or ENSMUSG00000041653 or ENSMUSG00000042179 or ENSMUSG00000046008 or ENSMUSG00000053846,,,,,,Acylglycerides metabolism,,,,
75,,MMRNR10092,,1-acylglycerol-LD-TG1 pool[c] + H2O[c] => fatty acid-LD-TG1 pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
76,,MMRNR10093,,1-acylglycerol-LD-PC pool[c] + H2O[c] => fatty acid-LD-PC pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
77,,MMRNR10094,,1-acylglycerol-LD-PE pool[c] + H2O[c] => fatty acid-LD-PE pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
78,,MMRNR10095,,1-acylglycerol-LD-PS pool[c] + H2O[c] => fatty acid-LD-PS pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
79,,MMRNR10096,,1-acylglycerol-LD-PI pool[c] + H2O[c] => fatty acid-LD-PI pool[c] + glycerol[c],EC:3.1.1.23,ENSMUSG00000025277 or ENSMUSG00000032046 or ENSMUSG00000033174,,,,,,Acylglycerides metabolism,,,,
80,,MMRNR10098,,acyl-CoA-LD-TG2 pool[c] + DHAP[c] => acylglycerone-phosphate[c] + CoA[c],EC:2.3.1.42,ENSMUSG00000031985,,,,,,Acylglycerides metabolism,,,,
81,,MMRNR00067,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",glyoxalate[p] + L-Alanine[p] => glycine[p] + pyruvate[p],2.6.1.44,ENSMUSG00000026272,,,,,,"Alanine, aspartate and glutamate metabolism",,,,
82,,MMRNR00068,Argininosuccinate Synthase,aspartate[c] + ATP[c] + citrulline[c] => AMP[c] + argininosuccinate[c] + H+[c] + PPi[c],3.5.3.1,ENSMUSG00000076441,,,,,,"Alanine, aspartate and glutamate metabolism",,,,
83,,MMRNR00071,Aspartate Transaminase,AKG[m] + aspartate[m] <=> glutamate[m] + OAA[m],2.6.1.1,ENSMUSG00000031672,,,,,,"Alanine, aspartate and glutamate metabolism",,,,
