ID,#,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,old,RetiredID,hmdb,kegg.compound,pubchem.compound,obo.chebi:CHEBI,lipidmaps,metSBOTerms
"(11Z,14Z)-eicosadienoyl-CoA[c]",,"(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180;chebi/CHEBI:76410;lipidmaps/LMFA07050036;vmhmetabolite/CE4843;metanetx.chemical/MNXM167435;metanetx.chemical/MNXM6496;sbo/SBO:0000247,C41H70N7O17P3S,,c,MMRNM0013c,,C16180,C16180[c],,C16180,,CHEBI:76410,LMFA07050036,SBO:0000247
"(11Z,14Z)-eicosadienoyl-CoA[m]",,"(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180;chebi/CHEBI:76410;lipidmaps/LMFA07050036;vmhmetabolite/CE4843;metanetx.chemical/MNXM167435;metanetx.chemical/MNXM6496;sbo/SBO:0000247,C41H70N7O17P3S,,m,MMRNM0013m,,C16180,C16180[m],,C16180,,CHEBI:76410,LMFA07050036,SBO:0000247
"(11Z,14Z)-eicosadienoyl-CoA[r]",,"(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180;chebi/CHEBI:76410;lipidmaps/LMFA07050036;vmhmetabolite/CE4843;metanetx.chemical/MNXM167435;metanetx.chemical/MNXM6496;sbo/SBO:0000247,C41H70N7O17P3S,,r,MMRNM0013r,,C16180,C16180[r],,C16180,,CHEBI:76410,LMFA07050036,SBO:0000247
(11Z)-docosenoyl-CoA[c],,(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,c,MMRNM0014c,,Cx4,Cx4[c],,,,,,
(11Z)-docosenoyl-CoA[m],,(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,m,MMRNM0014m,,Cx4,Cx4[m],,,,,,
(11Z)-docosenoyl-CoA[r],,(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,r,MMRNM0014r,,Cx4,Cx4[r],,,,,,
(11Z)-eicosenoyl-CoA[c],,(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,c,MMRNM0015c,,Cx5,Cx5[c],,,,,LMFA07050056,
(11Z)-eicosenoyl-CoA[m],,(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,m,MMRNM0015m,,Cx5,Cx5[m],,,,,LMFA07050056,
(11Z)-eicosenoyl-CoA[p],,(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,p,MMRNM0015p,,Cx5,Cx5[p],,,,,LMFA07050056,
(11Z)-eicosenoyl-CoA[r],,(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,r,MMRNM0015r,,Cx5,Cx5[r],,,,,LMFA07050056,
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c]",,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",,bigg.metabolite/prostg1;kegg.compound/C04654;hmdb/HMDB01320;chebi/CHEBI:15548;pubchem.compound/5280710;vmhmetabolite/prostg1;metanetx.chemical/MNXM168925;metanetx.chemical/MNXM3139;sbo/SBO:0000247,C20H32O5,,c,MMRNM0016c,,C04654,C04654[c],HMDB01320,C04654,5280710,CHEBI:15548,,SBO:0000247
(13E)-tetranor-16-carboxy-LTE4[p],,(13E)-tetranor-16-carboxy-LTE4,,,C19H27NO7S,,p,MMRNM0017p,,Cx7,Cx7[p],,,,,,
(13E)-tetranor-16-oxo-16-CoA-LTE4[p],,(13E)-tetranor-16-oxo-16-CoA-LTE4,,,C40H61N8O22P3S2,,p,MMRNM0018p,,Cx8,Cx8[p],,,,,,
"(13Z,16Z)-docosadienoic acid[c]",,"(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533;chebi/CHEBI:77806;lipidmaps/LMFA01030405;vmhmetabolite/M00021;metanetx.chemical/MNXM9691;sbo/SBO:0000247,C22H40O2,,c,MMRNM0019c,,C16533,C16533[c],,C16533,,CHEBI:77806,LMFA01030405,SBO:0000247
"(13Z,16Z)-docosadienoic acid[l]",,"(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533;chebi/CHEBI:77806;lipidmaps/LMFA01030405;vmhmetabolite/M00021;metanetx.chemical/MNXM9691;sbo/SBO:0000247,C22H40O2,,l,MMRNM0019l,,C16533,C16533[l],,C16533,,CHEBI:77806,LMFA01030405,SBO:0000247
"(13Z,16Z)-docosadienoic acid[r]",,"(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533;chebi/CHEBI:77806;lipidmaps/LMFA01030405;vmhmetabolite/M00021;metanetx.chemical/MNXM9691;sbo/SBO:0000247,C22H40O2,,r,MMRNM0019r,,C16533,C16533[r],,C16533,,CHEBI:77806,LMFA01030405,SBO:0000247
"(13Z,16Z)-docosadienoic acid[s]",,"(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533;chebi/CHEBI:77806;lipidmaps/LMFA01030405;vmhmetabolite/M00021;metanetx.chemical/MNXM9691;sbo/SBO:0000247,C22H40O2,,s,MMRNM0019s,,C16533,C16533[s],,C16533,,CHEBI:77806,LMFA01030405,SBO:0000247
"(13Z,16Z)-docosadienoyl-CoA[c]",,"(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645;lipidmaps/LMFA07050037;vmhmetabolite/M00023;metanetx.chemical/MNXM9382;sbo/SBO:0000247,C43H74N7O17P3S,,c,MMRNM0020c,,C16645,C16645[c],,C16645,,,LMFA07050037,SBO:0000247
"(13Z,16Z)-docosadienoyl-CoA[m]",,"(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645;lipidmaps/LMFA07050037;vmhmetabolite/M00023;metanetx.chemical/MNXM9382;sbo/SBO:0000247,C43H74N7O17P3S,,m,MMRNM0020m,,C16645,C16645[m],,C16645,,,LMFA07050037,SBO:0000247
"(13Z,16Z)-docosadienoyl-CoA[r]",,"(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645;lipidmaps/LMFA07050037;vmhmetabolite/M00023;metanetx.chemical/MNXM9382;sbo/SBO:0000247,C43H74N7O17P3S,,r,MMRNM0020r,,C16645,C16645[r],,C16645,,,LMFA07050037,SBO:0000247
"(13Z,16Z)-docosadienoylcarnitine[c]",,"(13Z,16Z)-docosadienoylcarnitine",,,C29H53NO4,,c,MMRNM0021c,,Cx13,Cx13[c],,,,,,
"(13Z,16Z)-docosadienoylcarnitine[m]",,"(13Z,16Z)-docosadienoylcarnitine",,,C29H53NO4,,m,MMRNM0021m,,Cx13,Cx13[m],,,,,,
"(13Z,16Z)-docosadienoylcarnitine[r]",,"(13Z,16Z)-docosadienoylcarnitine",,,C29H53NO4,,r,MMRNM0021r,,Cx13,Cx13[r],,,,,,
(13Z)-docosenoyl-CoA[c],,(13Z)-docosenoyl-CoA,,kegg.compound/C16531;lipidmaps/LMFA07050057;vmhmetabolite/CE5155;metanetx.chemical/MNXM11430;metanetx.chemical/MNXM162947;sbo/SBO:0000247,C43H76N7O17P3S,,c,MMRNM0022c,,C16531,C16531[c],,C16531,,,LMFA07050057,SBO:0000247
(13Z)-docosenoyl-CoA[m],,(13Z)-docosenoyl-CoA,,kegg.compound/C16531;lipidmaps/LMFA07050057;vmhmetabolite/CE5155;metanetx.chemical/MNXM11430;metanetx.chemical/MNXM162947;sbo/SBO:0000247,C43H76N7O17P3S,,m,MMRNM0022m,,C16531,C16531[m],,C16531,,,LMFA07050057,SBO:0000247
(13Z)-docosenoyl-CoA[p],,(13Z)-docosenoyl-CoA,,kegg.compound/C16531;lipidmaps/LMFA07050057;vmhmetabolite/CE5155;metanetx.chemical/MNXM11430;metanetx.chemical/MNXM162947;sbo/SBO:0000247,C43H76N7O17P3S,,p,MMRNM0022p,,C16531,C16531[p],,C16531,,,LMFA07050057,SBO:0000247
(13Z)-docosenoyl-CoA[r],,(13Z)-docosenoyl-CoA,,kegg.compound/C16531;lipidmaps/LMFA07050057;vmhmetabolite/CE5155;metanetx.chemical/MNXM11430;metanetx.chemical/MNXM162947;sbo/SBO:0000247,C43H76N7O17P3S,,r,MMRNM0022r,,C16531,C16531[r],,C16531,,,LMFA07050057,SBO:0000247
(13Z)-eicosenoic acid[c],,(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,c,MMRNM0023c,,Cx9,Cx9[c],,,,,LMFA01030367,
(13Z)-eicosenoic acid[l],,(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,l,MMRNM0023l,,Cx9,Cx9[l],,,,,LMFA01030367,
(13Z)-eicosenoic acid[r],,(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,r,MMRNM0023r,,Cx9,Cx9[r],,,,,LMFA01030367,
(13Z)-eicosenoic acid[s],,(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,s,MMRNM0023s,,Cx9,Cx9[s],,,,,LMFA01030367,
(13Z)-eicosenoyl-CoA[c],,(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,c,MMRNM0024c,,Cx10,Cx10[c],,,,,,
(13Z)-eicosenoyl-CoA[m],,(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,m,MMRNM0024m,,Cx10,Cx10[m],,,,,,
(13Z)-eicosenoyl-CoA[p],,(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,p,MMRNM0024p,,Cx10,Cx10[p],,,,,,
(13Z)-eicosenoyl-CoA[r],,(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,r,MMRNM0024r,,Cx10,Cx10[r],,,,,,
(13Z)-octadecenoic acid[c],,(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,c,MMRNM0025c,,Cx11,Cx11[c],,,,,LMFA01030290,
(13Z)-octadecenoic acid[l],,(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,l,MMRNM0025l,,Cx11,Cx11[l],,,,,LMFA01030290,
(13Z)-octadecenoic acid[r],,(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,r,MMRNM0025r,,Cx11,Cx11[r],,,,,LMFA01030290,
(13Z)-octadecenoic acid[s],,(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,s,MMRNM0025s,,Cx11,Cx11[s],,,,,LMFA01030290,
(13Z)-octadecenoyl-CoA[c],,(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,c,MMRNM0026c,,Cx12,Cx12[c],,,,,,
(13Z)-octadecenoyl-CoA[m],,(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,m,MMRNM0026m,,Cx12,Cx12[m],,,,,,
(13Z)-octadecenoyl-CoA[r],,(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,r,MMRNM0026r,,Cx12,Cx12[r],,,,,,
(15Z)-tetracosenoyl-CoA[c],,(15Z)-tetracosenoyl-CoA,,bigg.metabolite/nrvnccoa;kegg.compound/C16532;pubchem.compound/24892792;lipidmaps/LMFA07050058;vmhmetabolite/nrvnccoa;metanetx.chemical/MNXM13000;metanetx.chemical/MNXM5851;sbo/SBO:0000247,C45H80N7O17P3S,,c,MMRNM0027c,,C16532,C16532[c],,C16532,24892792,,LMFA07050058,SBO:0000247
(15Z)-tetracosenoyl-CoA[p],,(15Z)-tetracosenoyl-CoA,,bigg.metabolite/nrvnccoa;kegg.compound/C16532;pubchem.compound/24892792;lipidmaps/LMFA07050058;vmhmetabolite/nrvnccoa;metanetx.chemical/MNXM13000;metanetx.chemical/MNXM5851;sbo/SBO:0000247,C45H80N7O17P3S,,p,MMRNM0027p,,C16532,C16532[p],,C16532,24892792,,LMFA07050058,SBO:0000247
(15Z)-tetracosenoyl-CoA[r],,(15Z)-tetracosenoyl-CoA,,bigg.metabolite/nrvnccoa;kegg.compound/C16532;pubchem.compound/24892792;lipidmaps/LMFA07050058;vmhmetabolite/nrvnccoa;metanetx.chemical/MNXM13000;metanetx.chemical/MNXM5851;sbo/SBO:0000247,C45H80N7O17P3S,,r,MMRNM0027r,,C16532,C16532[r],,C16532,24892792,,LMFA07050058,SBO:0000247
(15Z)-tetracosenoylcarnitine[c],,(15Z)-tetracosenoylcarnitine,,,C31H59NO4,,c,MMRNM0028c,,Cx14,Cx14[c],,,,,,
(15Z)-tetracosenoylcarnitine[r],,(15Z)-tetracosenoylcarnitine,,,C31H59NO4,,r,MMRNM0028r,,Cx14,Cx14[r],,,,,,
(18E)-20-oxo-20-CoA-LTB4[m],,(18E)-20-oxo-20-CoA-LTB4,,,C41H62N7O21P3S,,m,MMRNM0029m,,Cx15,Cx15[m],,,,,,
(18E)-20-oxo-20-CoA-LTB4[p],,(18E)-20-oxo-20-CoA-LTB4,,,C41H62N7O21P3S,,p,MMRNM0029p,,Cx15,Cx15[p],,,,,,
(18E)-20-oxo-20-CoA-LTE4[p],,(18E)-20-oxo-20-CoA-LTE4,,,C44H67N8O22P3S2,,p,MMRNM0030p,,Cx16,Cx16[p],,,,,,
(18R)-HEPE[c],,(18R)-HEPE,,,C20H30O3,,c,MMRNM0031c,,Cx17,Cx17[c],,,,,,
"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c]",,"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid",,lipidmaps/LMFA03070025,C20H30O3,,c,MMRNM0032c,,Cx18,Cx18[c],,,,,LMFA03070025,
"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol[c]",,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",,kegg.compound/C19559;chebi/CHEBI:82558;vmhmetabolite/M00030;metanetx.chemical/MNXM13488;sbo/SBO:0000247,C20H18O3,,c,MMRNM0033c,,C19559,C19559[c],,C19559,,CHEBI:82558,,SBO:0000247
"(1R,2S)-naphthalene 1,2-oxide[c]",,"(1R,2S)-naphthalene 1,2-oxide",,bigg.metabolite/onpthl;kegg.compound/C14786;chebi/CHEBI:33998;pubchem.compound/108063;vmhmetabolite/onpthl;metanetx.chemical/MNXM12425;metanetx.chemical/MNXM3390;sbo/SBO:0000247,C10H8O,,c,MMRNM0034c,,C14786,C14786[c],,C14786,108063,CHEBI:33998,,SBO:0000247
"(1R,2S)-naphthalene 1,2-oxide[s]",,"(1R,2S)-naphthalene 1,2-oxide",,bigg.metabolite/onpthl;kegg.compound/C14786;chebi/CHEBI:33998;pubchem.compound/108063;vmhmetabolite/onpthl;metanetx.chemical/MNXM12425;metanetx.chemical/MNXM3390;sbo/SBO:0000247,C10H8O,,s,MMRNM0034s,,C14786,C14786[s],,C14786,108063,CHEBI:33998,,SBO:0000247
"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene[c]",,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",,kegg.compound/C14791;chebi/CHEBI:33995;vmhmetabolite/M00031;metanetx.chemical/MNXM6499;sbo/SBO:0000247,C20H25N3O7S,,c,MMRNM0035c,,C14791,C14791[c],,C14791,,CHEBI:33995,,SBO:0000247
"(1S,2R)-naphthalene 1,2-oxide[c]",,"(1S,2R)-naphthalene 1,2-oxide",,kegg.compound/C14787;chebi/CHEBI:34001;vmhmetabolite/M00034;metanetx.chemical/MNXM2885;sbo/SBO:0000247,C10H8O,,c,MMRNM0036c,,C14787,C14787[c],,C14787,,CHEBI:34001,,SBO:0000247
"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene[c]",,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",,kegg.compound/C14792;chebi/CHEBI:34000;vmhmetabolite/M00033;metanetx.chemical/MNXM6503;sbo/SBO:0000247,C20H25N3O7S,,c,MMRNM0037c,,C14792,C14792[c],,C14792,,CHEBI:34000,,SBO:0000247
(20S)-20-Hydroxypregn-4-En-3-One[s],,(20S)-20-Hydroxypregn-4-En-3-One,,bigg.metabolite/aprgstrn;kegg.compound/C04042;hmdb/HMDB03069;chebi/CHEBI:36729;pubchem.compound/92747;vmhmetabolite/aprgstrn;metanetx.chemical/MNXM163756;sbo/SBO:0000247,,"1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12-13,16-19,22H,4-11H2,1-3H3/t13-,16-,17+,18-,19-,20-,21+/m0/s1",s,MMRNM0038s,0.0,C04042,C04042[s],HMDB03069,C04042,92747,CHEBI:36729,,SBO:0000247
"(24R,25R)-3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Oyl Coenzyme A[p]",,"(24R,25R)-3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",,kegg.compound/C05450;pubchem.compound/46224537,C48H76N7O21P3S,,p,MMRNM0039p,-4.0,Cx1627,Cx1627[p],,C05450,46224537,,,
"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[m]",,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",,kegg.compound/C05450;chebi/CHEBI:52050;pubchem.compound/46224537;vmhmetabolite/HC01459;metanetx.chemical/MNXM732;metanetx.chemical/MNXM827;sbo/SBO:0000247,C48H80N7O21P3S,,m,MMRNM0040m,,C05450,C05450[m],,C05450,46224537,CHEBI:52050,,SBO:0000247
