,#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE
22,,"(11Z,14Z)-eicosadienoyl-CoA[m]","(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180,C41H70N7O17P3S,,m,MMRNM0013m,
23,,"(11Z,14Z)-eicosadienoyl-CoA[r]","(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180,C41H70N7O17P3S,,r,MMRNM0013r,
24,,(11Z)-docosenoyl-CoA[c],(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,c,MMRNM0014c,
25,,(11Z)-docosenoyl-CoA[m],(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,m,MMRNM0014m,
26,,(11Z)-docosenoyl-CoA[r],(11Z)-docosenoyl-CoA,,,C43H76N7O17P3S,,r,MMRNM0014r,
27,,(11Z)-eicosenoyl-CoA[c],(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,c,MMRNM0015c,
28,,(11Z)-eicosenoyl-CoA[m],(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,m,MMRNM0015m,
29,,(11Z)-eicosenoyl-CoA[p],(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,p,MMRNM0015p,
30,,(11Z)-eicosenoyl-CoA[r],(11Z)-eicosenoyl-CoA,,lipidmaps/LMFA07050056,C41H72N7O17P3S,,r,MMRNM0015r,
31,,"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate[c]","(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",,obo.chebi:CHEBI/15548,C20H32O5,,c,MMRNM0016c,
32,,(13E)-tetranor-16-carboxy-LTE4[p],(13E)-tetranor-16-carboxy-LTE4,,,C19H27NO7S,,p,MMRNM0017p,
33,,(13E)-tetranor-16-oxo-16-CoA-LTE4[p],(13E)-tetranor-16-oxo-16-CoA-LTE4,,,C40H61N8O22P3S2,,p,MMRNM0018p,
34,,"(13Z,16Z)-docosadienoic acid[c]","(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533,C22H40O2,,c,MMRNM0019c,
35,,"(13Z,16Z)-docosadienoic acid[r]","(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533,C22H40O2,,r,MMRNM0019r,
36,,"(13Z,16Z)-docosadienoic acid[s]","(13Z,16Z)-docosadienoic acid",,kegg.compound/C16533,C22H40O2,,s,MMRNM0019s,
37,,"(13Z,16Z)-docosadienoyl-CoA[c]","(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645,C43H74N7O17P3S,,c,MMRNM0020c,
38,,"(13Z,16Z)-docosadienoyl-CoA[m]","(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645,C43H74N7O17P3S,,m,MMRNM0020m,
39,,"(13Z,16Z)-docosadienoyl-CoA[r]","(13Z,16Z)-docosadienoyl-CoA",,kegg.compound/C16645,C43H74N7O17P3S,,r,MMRNM0020r,
40,,"(13Z,16Z)-docosadienoylcarnitine[c]","(13Z,16Z)-docosadienoylcarnitine",,,C29H53NO4,,c,MMRNM0021c,
41,,"(13Z,16Z)-docosadienoylcarnitine[m]","(13Z,16Z)-docosadienoylcarnitine",,,C29H53NO4,,m,MMRNM0021m,
42,,(13Z)-docosenoyl-CoA[c],(13Z)-docosenoyl-CoA,,kegg.compound/C16531,C43H76N7O17P3S,,c,MMRNM0022c,
43,,(13Z)-docosenoyl-CoA[m],(13Z)-docosenoyl-CoA,,kegg.compound/C16531,C43H76N7O17P3S,,m,MMRNM0022m,
44,,(13Z)-docosenoyl-CoA[p],(13Z)-docosenoyl-CoA,,kegg.compound/C16531,C43H76N7O17P3S,,p,MMRNM0022p,
45,,(13Z)-docosenoyl-CoA[r],(13Z)-docosenoyl-CoA,,kegg.compound/C16531,C43H76N7O17P3S,,r,MMRNM0022r,
46,,(13Z)-eicosenoic acid[c],(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,c,MMRNM0023c,
47,,(13Z)-eicosenoic acid[r],(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,r,MMRNM0023r,
48,,(13Z)-eicosenoic acid[s],(13Z)-eicosenoic acid,,lipidmaps/LMFA01030367,C20H38O2,,s,MMRNM0023s,
49,,(13Z)-eicosenoyl-CoA[c],(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,c,MMRNM0024c,
50,,(13Z)-eicosenoyl-CoA[m],(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,m,MMRNM0024m,
51,,(13Z)-eicosenoyl-CoA[p],(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,p,MMRNM0024p,
52,,(13Z)-eicosenoyl-CoA[r],(13Z)-eicosenoyl-CoA,,,C41H72N7O17P3S,,r,MMRNM0024r,
53,,(13Z)-octadecenoic acid[c],(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,c,MMRNM0025c,
54,,(13Z)-octadecenoic acid[r],(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,r,MMRNM0025r,
55,,(13Z)-octadecenoic acid[s],(13Z)-octadecenoic acid,,lipidmaps/LMFA01030290,C18H34O2,,s,MMRNM0025s,
56,,(13Z)-octadecenoyl-CoA[c],(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,c,MMRNM0026c,
57,,(13Z)-octadecenoyl-CoA[m],(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,m,MMRNM0026m,
58,,(13Z)-octadecenoyl-CoA[r],(13Z)-octadecenoyl-CoA,,,C39H68N7O17P3S,,r,MMRNM0026r,
59,,(15Z)-tetracosenoyl-CoA[c],(15Z)-tetracosenoyl-CoA,,kegg.compound/C16532,C45H80N7O17P3S,,c,MMRNM0027c,
60,,(15Z)-tetracosenoyl-CoA[p],(15Z)-tetracosenoyl-CoA,,kegg.compound/C16532,C45H80N7O17P3S,,p,MMRNM0027p,
61,,(15Z)-tetracosenoyl-CoA[r],(15Z)-tetracosenoyl-CoA,,kegg.compound/C16532,C45H80N7O17P3S,,r,MMRNM0027r,
62,,(15Z)-tetracosenoylcarnitine[c],(15Z)-tetracosenoylcarnitine,,,C31H59NO4,,c,MMRNM0028c,
63,,(15Z)-tetracosenoylcarnitine[r],(15Z)-tetracosenoylcarnitine,,,C31H59NO4,,r,MMRNM0028r,
64,,"(1R,2S)-naphthalene 1,2-oxide[c]","(1R,2S)-naphthalene 1,2-oxide",,obo.chebi:CHEBI/33998,C10H8O,,c,MMRNM0034c,
65,,(20S)-20-Hydroxypregn-4-En-3-One[s],(20S)-20-Hydroxypregn-4-En-3-One,,hmdb/HMDB03069;kegg.compound/C04042;pubchem.compound/92747,,"1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12-13,16-19,22H,4-11H2,1-3H3/t13-,16-,17+,18-,19-,20-,21+/m0/s1",s,MMRNM0038s,
66,,"(24R,25R)-3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Oyl Coenzyme A[p]","(24R,25R)-3Alpha,7Alpha,12Alpha,24-Tetrahydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",,kegg.compound/C05450;pubchem.compound/46224537,C48H76N7O21P3S,,p,MMRNM0039p,
67,,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[m]","(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",,obo.chebi:CHEBI/52050,C48H80N7O21P3S,,m,MMRNM0040m,
68,,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[p]","(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",,obo.chebi:CHEBI/52050,C48H80N7O21P3S,,p,MMRNM0040p,
69,,"(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA[p]","(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA",,obo.chebi:CHEBI/27403,C48H80N7O20P3S,,p,MMRNM0041p,
70,,"(24R)-24,25-dihydroxycalciol[c]","(24R)-24,25-dihydroxycalciol",,obo.chebi:CHEBI/28818,C27H44O3,,c,MMRNM0042c,
71,,"(24R)-24,25-dihydroxycalciol[m]","(24R)-24,25-dihydroxycalciol",,obo.chebi:CHEBI/28818,C27H44O3,,m,MMRNM0042m,
72,,"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[m]","(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",,,C37H58N7O17P3S,,m,MMRNM0046m,
73,,"(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[p]","(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA",,,C37H58N7O17P3S,,p,MMRNM0046p,
74,,"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[m]","(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",,,C39H62N7O17P3S,,m,MMRNM0047m,
75,,"(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[p]","(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA",,,C39H62N7O17P3S,,p,MMRNM0047p,
76,,"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]","(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",,,C43H68N7O17P3S,,c,MMRNM0048c,
77,,(2E)-decenoyl-[ACP][c],(2E)-decenoyl-[ACP],,kegg.compound/C05754,C10H17OSR,,c,MMRNM0049c,
78,,(2E)-decenoyl-CoA[m],(2E)-decenoyl-CoA,,obo.chebi:CHEBI/10723,C31H52N7O17P3S,,m,MMRNM0050m,
79,,(2E)-decenoyl-CoA[p],(2E)-decenoyl-CoA,,obo.chebi:CHEBI/10723,C31H52N7O17P3S,,p,MMRNM0050p,
80,,(2E)-docosenoyl-CoA[c],(2E)-docosenoyl-CoA,,,C43H76N7O17P3S,,c,MMRNM0052c,
81,,(2E)-docosenoyl-CoA[m],(2E)-docosenoyl-CoA,,,C43H76N7O17P3S,,m,MMRNM0052m,
82,,(2E)-docosenoyl-CoA[p],(2E)-docosenoyl-CoA,,,C43H76N7O17P3S,,p,MMRNM0052p,
83,,(2E)-dodecenoyl-[ACP][c],(2E)-dodecenoyl-[ACP],,kegg.compound/C05758,C12H21OSR,,c,MMRNM0053c,
84,,(2E)-dodecenoyl-CoA[m],(2E)-dodecenoyl-CoA,,obo.chebi:CHEBI/15471,C33H56N7O17P3S,,m,MMRNM0054m,
85,,(2E)-dodecenoyl-CoA[p],(2E)-dodecenoyl-CoA,,obo.chebi:CHEBI/15471,C33H56N7O17P3S,,p,MMRNM0054p,
86,,(2E)-eicosenoyl-CoA[c],(2E)-eicosenoyl-CoA,,,C41H72N7O17P3S,,c,MMRNM0055c,
87,,(2E)-eicosenoyl-CoA[m],(2E)-eicosenoyl-CoA,,,C41H72N7O17P3S,,m,MMRNM0055m,
88,,(2E)-eicosenoyl-CoA[p],(2E)-eicosenoyl-CoA,,,C41H72N7O17P3S,,p,MMRNM0055p,0.0
89,,(2E)-heneicosenoyl-CoA[c],(2E)-heneicosenoyl-CoA,,,C42H74N7O17P3S,,c,MMRNM0056c,-4.0
90,,(2E)-heneicosenoyl-CoA[m],(2E)-heneicosenoyl-CoA,,,C42H74N7O17P3S,,m,MMRNM0056m,
91,,(2E)-heptadecenoyl-[ACP][c],(2E)-heptadecenoyl-[ACP],,,C17H31OSR,,c,MMRNM0057c,
92,,(2E)-heptadecenoyl-CoA[m],(2E)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,m,MMRNM0058m,
93,,(2E)-heptenoyl-[ACP][c],(2E)-heptenoyl-[ACP],,,C7H11OSR,,c,MMRNM0059c,
94,,(2E)-heptenoyl-CoA[m],(2E)-heptenoyl-CoA,,,C28H46N7O17P3S,,m,MMRNM0060m,
95,,(2E)-hexacosenoyl-CoA[c],(2E)-hexacosenoyl-CoA,,,C47H84N7O17P3S,,c,MMRNM0061c,
96,,(2E)-hexacosenoyl-CoA[p],(2E)-hexacosenoyl-CoA,,,C47H84N7O17P3S,,p,MMRNM0061p,0.0
97,,(2E)-hexadecenoyl-[ACP][c],(2E)-hexadecenoyl-[ACP],,kegg.compound/C05763,C16H29OSR,,c,MMRNM0062c,0.0
98,,(2E)-hexadecenoyl-CoA[m],(2E)-hexadecenoyl-CoA,,obo.chebi:CHEBI/28935,C37H64N7O17P3S,,m,MMRNM0063m,-4.0
99,,(2E)-hexadecenoyl-CoA[p],(2E)-hexadecenoyl-CoA,,obo.chebi:CHEBI/28935,C37H64N7O17P3S,,p,MMRNM0063p,-4.0
100,,(2E)-hexenoyl-[ACP][c],(2E)-hexenoyl-[ACP],,kegg.compound/C05748,C6H9OSR,,c,MMRNM0064c,
101,,(2E)-hexenoyl-CoA[m],(2E)-hexenoyl-CoA,,obo.chebi:CHEBI/28706,C27H44N7O17P3S,,m,MMRNM0065m,
102,,(2E)-hexenoyl-CoA[p],(2E)-hexenoyl-CoA,,obo.chebi:CHEBI/28706,C27H44N7O17P3S,,p,MMRNM0065p,
103,,(2E)-nonadecenoyl-CoA[c],(2E)-nonadecenoyl-CoA,,,C40H70N7O17P3S,,c,MMRNM0066c,
104,,(2E)-nonadecenoyl-CoA[m],(2E)-nonadecenoyl-CoA,,,C40H70N7O17P3S,,m,MMRNM0066m,
105,,(2E)-nonenoyl-[ACP][c],(2E)-nonenoyl-[ACP],,,C9H15OSR,,c,MMRNM0067c,
106,,(2E)-nonenoyl-CoA[m],(2E)-nonenoyl-CoA,,,C30H50N7O17P3S,,m,MMRNM0068m,
107,,(2E)-octadecenoyl-CoA[c],(2E)-octadecenoyl-CoA,,obo.chebi:CHEBI/50570,C39H68N7O17P3S,,c,MMRNM0070c,
108,,(2E)-octadecenoyl-CoA[m],(2E)-octadecenoyl-CoA,,obo.chebi:CHEBI/50570,C39H68N7O17P3S,,m,MMRNM0070m,-4.0
109,,(2E)-octadecenoyl-CoA[p],(2E)-octadecenoyl-CoA,,obo.chebi:CHEBI/50570,C39H68N7O17P3S,,p,MMRNM0070p,
110,,(2E)-octenoyl-[ACP][c],(2E)-octenoyl-[ACP],,kegg.compound/C05751,C8H13OSR,,c,MMRNM0071c,
111,,(2E)-octenoyl-CoA[m],(2E)-octenoyl-CoA,,obo.chebi:CHEBI/27537,C29H48N7O17P3S,,m,MMRNM0072m,
112,,(2E)-octenoyl-CoA[p],(2E)-octenoyl-CoA,,obo.chebi:CHEBI/27537,C29H48N7O17P3S,,p,MMRNM0072p,
113,,(2E)-pentadecenoyl-[ACP][c],(2E)-pentadecenoyl-[ACP],,,C15H27OSR,,c,MMRNM0073c,
114,,(2E)-pentadecenoyl-CoA[m],(2E)-pentadecenoyl-CoA,,,C36H62N7O17P3S,,m,MMRNM0074m,
115,,(2E)-pentenoyl-[ACP][c],(2E)-pentenoyl-[ACP],,,C5H7OSR,,c,MMRNM0075c,
116,,(2E)-pentenoyl-CoA[m],(2E)-pentenoyl-CoA,,,C26H42N7O17P3S,,m,MMRNM0076m,
117,,(2E)-tetracosenoyl-CoA[c],(2E)-tetracosenoyl-CoA,,,C45H80N7O17P3S,,c,MMRNM0077c,
118,,(2E)-tetracosenoyl-CoA[p],(2E)-tetracosenoyl-CoA,,,C45H80N7O17P3S,,p,MMRNM0077p,
119,,(2E)-tetradecenoyl-[ACP][c],(2E)-tetradecenoyl-[ACP],,kegg.compound/C05760,C14H25OSR,,c,MMRNM0078c,
120,,(2E)-tetradecenoyl-CoA[m],(2E)-tetradecenoyl-CoA,,obo.chebi:CHEBI/27721,C35H60N7O17P3S,,m,MMRNM0079m,
121,,(2E)-tetradecenoyl-CoA[p],(2E)-tetradecenoyl-CoA,,obo.chebi:CHEBI/27721,C35H60N7O17P3S,,p,MMRNM0079p,
122,,(2E)-tricosenoyl-CoA[c],(2E)-tricosenoyl-CoA,,,C44H78N7O17P3S,,c,MMRNM0080c,
123,,(2E)-tridecenoyl-[ACP][c],(2E)-tridecenoyl-[ACP],,,C13H23OSR,,c,MMRNM0081c,
124,,(2E)-tridecenoyl-CoA[m],(2E)-tridecenoyl-CoA,,,C34H58N7O17P3S,,m,MMRNM0082m,
125,,(2E)-undecenoyl-[ACP][c],(2E)-undecenoyl-[ACP],,,C11H19OSR,,c,MMRNM0083c,
126,,(2E)-undecenoyl-CoA[m],(2E)-undecenoyl-CoA,,,C32H54N7O17P3S,,m,MMRNM0084m,
127,,"(2R,6R,10R)-trimethyl-hendecanoyl-CoA[p]","(2R,6R,10R)-trimethyl-hendecanoyl-CoA",,,C35H62N7O17P3S,,p,MMRNM0085p,
128,,"(2R,6S,10S)-pristanate[p]","(2R,6S,10S)-pristanate",,,C19H38O2,,p,MMRNM0086p,
129,,(2R)-pristanoyl-CoA[p],(2R)-pristanoyl-CoA,,obo.chebi:CHEBI/20067,C40H72N7O17P3S,,p,MMRNM0087p,
130,,"(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA[p]","(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA",,,C35H60N7O17P3S,,p,MMRNM0089p,
131,,"(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p]","(2S,6R,10R)-trimethyl-hendecanoyl-CoA",,,C35H62N7O17P3S,,p,MMRNM0090p,
132,,(2S)-Pristanoyl Coenzyme A[p],(2S)-Pristanoyl Coenzyme A,,,,"1/C40H72N7O17P3S/c1-25(2)11-8-12-26(3)13-9-14-27(4)15-10-16-28(5)39(52)68-20-19-42-30(48)17-18-43-37(51)34(50)40(6,7)22-61-67(58,59)64-66(56,57)60-21-29-33(63-65(53,54)55)32(49)38(62-29)47-24-46-31-35(41)44-23-45-36(31)47/h23-29,32-34,38,49-50H,8-22H2,1-7H3,(H,42,48)(H,43,51)(H,56,57)(H,58,59)(H2,41,44,45)(H2,53,54,55)/p-4/t26-,27-,28-,29-,32+,33+,34-,38-/s2",p,MMRNM0091p,
133,,(2S)-pristanoyl-CoA[p],(2S)-pristanoyl-CoA,,obo.chebi:CHEBI/64039,C40H72N7O17P3S,,p,MMRNM0092p,
134,,"(3E,5Z,8Z)-Tetradecatrienoyl Coenzyme A[m]","(3E,5Z,8Z)-Tetradecatrienoyl Coenzyme A",,pubchem.compound/53481421,C35H52N7O17P3S,,m,MMRNM0094m,
135,,(3S)-3-Hydroxy-Cis-8-Tetradecenoyl Coenzyme A[m],(3S)-3-Hydroxy-Cis-8-Tetradecenoyl Coenzyme A,,pubchem.compound/53481425,C35H56N7O18P3S,,m,MMRNM0095m,
136,,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m]","(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",,,C37H62N7O18P3S,,m,MMRNM0096m,0.0
137,,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[p]","(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA",,,C37H62N7O18P3S,,p,MMRNM0096p,
138,,(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,,,C33H56N7O18P3S,,m,MMRNM0097m,
139,,(3S)-3-hydroxydodec-cis-6-enoyl-CoA[p],(3S)-3-hydroxydodec-cis-6-enoyl-CoA,,,C33H56N7O18P3S,,p,MMRNM0097p,
140,,(3S)-3-hydroxylinoleoyl-CoA[m],(3S)-3-hydroxylinoleoyl-CoA,,,C39H66N7O18P3S,,m,MMRNM0098m,
141,,(3S)-3-hydroxylinoleoyl-CoA[p],(3S)-3-hydroxylinoleoyl-CoA,,,C39H66N7O18P3S,,p,MMRNM0098p,
142,,"(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA[c]","(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA",,,C43H74N7O18P3S,,c,MMRNM0100c,
143,,"(3S)-Hydroxy-Eicosa-Cis,Cis-11,14-Dienoyl Coenzyme A[r]","(3S)-Hydroxy-Eicosa-Cis,Cis-11,14-Dienoyl Coenzyme A",,,C41H66N7O18P3S,,r,MMRNM0101r,
144,,"(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA[c]","(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA",,,C41H70N7O18P3S,,c,MMRNM0102c,
145,,"(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA[c]","(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA",,,C41H68N7O18P3S,,c,MMRNM0103c,
146,,"(3Z,7Z,10Z)-hexadecatrienoyl-CoA[m]","(3Z,7Z,10Z)-hexadecatrienoyl-CoA",,,C37H60N7O17P3S,,m,MMRNM0104m,
147,,"(3Z,7Z,10Z)-hexadecatrienoyl-CoA[p]","(3Z,7Z,10Z)-hexadecatrienoyl-CoA",,,C37H60N7O17P3S,,p,MMRNM0104p,
148,,(3Z)-dodecenoyl-CoA[m],(3Z)-dodecenoyl-CoA,,obo.chebi:CHEBI/27989,C33H56N7O17P3S,,m,MMRNM0105m,
149,,(3Z)-dodecenoyl-CoA[p],(3Z)-dodecenoyl-CoA,,obo.chebi:CHEBI/27989,C33H56N7O17P3S,,p,MMRNM0105p,
150,,(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde[m],(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde,,kegg.compound/C05581;pubchem.compound/151276,,"1S/C9H10O3/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,5-6,11H,4H2,1H3",m,MMRNM0106m,
151,,"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA[p]","(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA",,,C37H64N7O17P3S,,p,MMRNM0107p,
152,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c]","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",,obo.chebi:CHEBI/65132,C43H66N7O17P3S,,c,MMRNM0108c,
153,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[m]","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",,obo.chebi:CHEBI/65132,C43H66N7O17P3S,,m,MMRNM0108m,
154,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",,obo.chebi:CHEBI/65132,C43H66N7O17P3S,,p,MMRNM0108p,
155,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r]","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",,obo.chebi:CHEBI/65132,C43H66N7O17P3S,,r,MMRNM0108r,
156,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",,kegg.compound/C16173,C43H68N7O17P3S,,c,MMRNM0109c,
157,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[m]","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",,kegg.compound/C16173,C43H68N7O17P3S,,m,MMRNM0109m,
158,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[p]","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",,kegg.compound/C16173,C43H68N7O17P3S,,p,MMRNM0109p,
