MMRN_index,#,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,rxnKEGGID,rxnMetaNetXID,rxnREACTOMEID,rxnRheaID,rxnRheaMasterID,rxnBiGGID,rxnRheaFinal,rxnSBOTerms,ECNumber,RetiredID
MMRNR00015,,R_HMR_0250,H2O[c] + stearoyl-CoA[c] => CoA[c] + stearate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08174;vmhreaction/RE0344C;metanetx.reaction/MNXR99133;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08174,MNXR99133,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0250
MMRNR00016,,R_HMR_0256,(13Z)-octadecenoyl-CoA[c] + H2O[c] => (13Z)-octadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0256;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0256
MMRNR00017,,R_HMR_0260,cis-vaccenoyl-CoA[c] + H2O[c] => cis-vaccenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0260;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0260
MMRNR00018,,R_HMR_0264,H2O[c] + oleoyl-CoA[c] => CoA[c] + oleate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,bigg.reaction/FACOAE181;vmhreaction/RE3245C;metanetx.reaction/MNXR99134;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,MNXR99134,nan,nan,nan,FACOAE181,,SBO:0000176,3.1.2.2,HMR_0264
MMRNR00019,,R_HMR_0268,(9E)-octadecenoyl-CoA[c] + H2O[c] => CoA[c] + elaidate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0268;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0268
MMRNR00020,,R_HMR_0272,(7Z)-octadecenoyl-CoA[c] + H2O[c] => (7Z)-octadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0272;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0272
MMRNR00021,,R_HMR_0276,"(6Z,9Z)-octadecadienoyl-CoA[c] + H2O[c] => (6Z,9Z)-octadecadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0276;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0276
MMRNR00022,,R_HMR_0280,H2O[c] + nonadecanoyl-CoA[c] => CoA[c] + nonadecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0280;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0280
MMRNR00023,,R_HMR_0284,eicosanoyl-CoA[c] + H2O[c] => CoA[c] + eicosanoate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08175;vmhreaction/RE0577C;metanetx.reaction/MNXR103462;rhea/40148;rhea/40147;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08175,MNXR103462,nan,RHEA:40148,RHEA:40147,nan,40148; 40147,SBO:0000176,3.1.2.2,HMR_0284
MMRNR00024,,R_HMR_0290,(13Z)-eicosenoyl-CoA[c] + H2O[c] => (13Z)-eicosenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0290;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0290
MMRNR00025,,R_HMR_0294,(11Z)-eicosenoyl-CoA[c] + H2O[c] => cis-gondoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08186;vmhreaction/RE3238C;metanetx.reaction/MNXR103844;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08186,MNXR103844,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0294
MMRNR00026,,R_HMR_0298,9-eicosenoyl-CoA[c] + H2O[c] => 9-eicosenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0298;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0298
MMRNR00027,,R_HMR_0302,"(8Z,11Z)-eicosadienoyl-CoA[c] + H2O[c] => 8,11-eicosadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0302;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0302
MMRNR00028,,R_HMR_0306,"(5Z,8Z,11Z)-eicosatrienoyl-CoA[c] + H2O[c] => CoA[c] + mead acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0306;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0306
MMRNR00029,,R_HMR_0310,H2O[c] + heneicosanoyl-CoA[c] => CoA[c] + henicosanoic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0310;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0310
MMRNR00030,,R_HMR_0314,docosanoyl-CoA[c] + H2O[c] => behenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08184;vmhreaction/RE0578C;metanetx.reaction/MNXR103463;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08184,MNXR103463,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0314
MMRNR00031,,R_HMR_0320,(13Z)-docosenoyl-CoA[c] + H2O[c] => cis-erucic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08187;vmhreaction/RE3239C;metanetx.reaction/MNXR103845;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08187,MNXR103845,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0320
MMRNR00032,,R_HMR_0324,(11Z)-docosenoyl-CoA[c] + H2O[c] => cis-cetoleic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0324;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0324
MMRNR00033,,R_HMR_0328,H2O[c] + tricosanoyl-CoA[c] => CoA[c] + tricosanoic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0328;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0328
MMRNR00034,,R_HMR_0332,H2O[c] + tetracosanoyl-CoA[c] => CoA[c] + Lignocerate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08185;vmhreaction/RE0579C;metanetx.reaction/MNXR103464;metanetx.reaction/MNXR111757;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08185,MNXR103464;MNXR111757,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0332
MMRNR00035,,R_HMR_0338,(15Z)-tetracosenoyl-CoA[c] + H2O[c] => CoA[c] + nervonic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08188;vmhreaction/RE3237C;metanetx.reaction/MNXR103843;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08188,MNXR103843,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0338
MMRNR00036,,R_HMR_0342,H2O[c] + hexacosanoyl-CoA[c] => cerotic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0342;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0342
MMRNR00037,,R_HMR_0346,H2O[c] + hexacosenoyl-CoA[c] => CoA[c] + ximenic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0346;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0346
MMRNR00038,,R_HMR_0350,H2O[c] + linolenoyl-CoA[c] => CoA[c] + linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08178;vmhreaction/HMR_0350;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08178,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0350
MMRNR00039,,R_HMR_0354,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + H2O[c] => CoA[c] + stearidonic acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0354;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0354
MMRNR00040,,R_HMR_0358,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + H2O[c] => CoA[c] + omega-3-arachidonic acid[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0358;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0358
MMRNR00041,,R_HMR_0362,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + EPA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08179;vmhreaction/HMR_0362;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08179,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0362
MMRNR00042,,R_HMR_0366,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + DPA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08189;vmhreaction/HMR_0366;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08189,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0366
MMRNR00043,,R_HMR_0370,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z,21Z)-TPA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0370;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0370
MMRNR00044,,R_HMR_0374,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0374;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0374
MMRNR00045,,R_HMR_0378,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + H2O[c] => CoA[c] + DHA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08180;vmhreaction/HMR_0378;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08180,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0378
MMRNR00046,,R_HMR_0382,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[c] + H2O[c] => (11Z,14Z,17Z)-eicosatrienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08192;vmhreaction/HMR_0382;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08192,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0382
MMRNR00047,,R_HMR_0386,"13,16,19-docosatrienoyl-CoA[c] + H2O[c] => 13,16,19-docosatrienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0386;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0386
MMRNR00048,,R_HMR_0390,"10,13,16,19-docosatetraenoyl-CoA[c] + H2O[c] => 10,13,16,19-docosatetraenoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0390;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0390
MMRNR00049,,R_HMR_0394,"12,15,18,21-tetracosatetraenoyl-CoA[c] + H2O[c] => 12,15,18,21-tetracosatetraenoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0394;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0394
MMRNR00050,,R_HMR_0398,H2O[c] + linoleoyl-CoA[c] => CoA[c] + linoleate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08177;vmhreaction/HMR_0398;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08177,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0398
MMRNR00051,,R_HMR_0402,gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + gamma-linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08181;vmhreaction/HMR_0402;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08181,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0402
MMRNR00052,,R_HMR_0406,dihomo-gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + dihomo-gamma-linolenate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08182;vmhreaction/HMR_0406;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08182,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0406
MMRNR00053,,R_HMR_0410,arachidonyl-CoA[c] + H2O[c] => arachidonate[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R08183;vmhreaction/HMR_0410;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R08183,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0410
